Class: Racer

Rank,Car_ID,Year,Make,Model,Score
46,185,2013,Volkswagen,Jett,4
47,193,2014,Nissan,Ssntra,4
48,220,2004,Audi,A4,4
49,237,1987,Volkswagen,Jetta,4
50,243,2008,Toyota,Matrix,4
51,2,2016,Bmw,M2,6
52,5,2003,Acura,Rsx,6
53,46,2008,Volkswagen,R32,6
54,49,1997,Acura,Integra,6
55,59,2012,Volkswagen,Golf,6
56,69,2018,Subaru,WRX,6
57,93,2005,Acura,TL,6
58,95,2004,Infiniti,G35,6
59,100,2006,Volvo,S60r,6
60,104,2014,Honda,Civic si,6
61,116,2008,Audi,A4,6
62,120,2014,Ford,Focus st,6
63,122,2011,Infiniti,M37s,6
64,141,1993,Mazda,Miata,6
65,159,2013,Hyundai,Gen coupe,6
66,167,2016,Ford,Mystang,6
67,179,2004,Volkswagen,R32,6
68,181,2003,Volkswagen,Gti,6
69,182,2012,Volkswagen,Cc,6
70,190,1995,Lexus,Sc300,6
71,226,2008,Honda,Accord,6
72,235,2013,Scion,Frs,6
73,242,2014,Nissan,Maxima,6
74,7,2014,Nissan,Sentra,8
75,10,2001,Nissan,S15,8
76,14,1990,Nissan,Skyline,8
77,19,2001,Mitsu,Evo7,8
78,34,2010,Honda,Fit,8
79,52,2007,Mazda,Speed 3,8
80,79,1993,Mazda,Miata,8
81,99,2014,Honda,Civic si,8
82,114,2010,Volkswagen,Gti,8
83,145,1990,Volkswagen,Gti,8
84,189,2012,Toyota,Fj cruiser,8
85,219,2016,Ford,Focus rs,8
86,230,2004,Acura,Tsx,8
87,6,2016,Volkswagen,Golf r,10
88,18,2015,Audi,S3,10
89,20,2009,Infiniti,G37,10
90,45,2006,Acura,TL,10
91,51,2015,Subaru,WRX,10
92,56,2009,Volkswagen,Jetta,10
93,98,2012,Mercedes,C63,10
94,123,2006,Lexus,Sc430,10
95,140,1995,Mitsu,Evo8,10
96,142,1993,Toyota,Supra,10
97,144,2016,Volkswagen,Gti,10
98,200,2016,Subaru,WRX,10
99,207,1993,Honda,Civic eG,10
100,218,2010,Chevy,Camaro,10
101,238,1982,Volkswagen,Rabbit,10
102,241,2007,Toyota,Camry,10
103,Showcar,2014,Nissan,Gtr,12
